,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,popularity
11678,214670,0.00153,0.545,0.747,0.00397,6,0.135,-4.877,0,0.0429,128.045,4,0.2239999999999999,1
864,251906,0.00561,0.659,0.738,0.0,4,0.319,-4.077,0,0.362,93.796,4,0.516,0
14396,267786,0.534,0.732,0.708,0.0,9,0.237,-7.905,0,0.262,175.924,4,0.7170000000000001,1
1108,235000,0.0341,0.66,0.627,9.64e-05,6,0.385,-10.397,0,0.124,85.44,4,0.789,1
6031,209039,0.00033,0.32,0.7979999999999999,0.6920000000000001,10,0.176,-7.077999999999999,0,0.124,84.696,4,0.74,0
15283,149327,0.913,0.174,0.569,0.924,2,0.642,-6.422000000000001,1,0.0387,86.557,1,0.223,0
6332,172307,0.0773,0.481,0.857,4.13e-06,0,0.195,-3.86,1,0.163,159.683,4,0.258,0
9187,302013,0.272,0.52,0.847,0.0,9,0.325,-5.3,1,0.427,177.37099999999998,4,0.799,0
577,230666,0.00482,0.476,0.897,2.3800000000000003e-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667,1
7066,218226,0.264,0.795,0.872,0.000362,5,0.0587,-3.373,0,0.0488,100.024,4,0.966,0
734,201026,0.0372,0.472,0.946,0.0,2,0.352,-4.591,1,0.145,177.489,4,0.486,1
16046,216000,0.934,0.479,0.106,1.82e-05,10,0.284,-13.497,0,0.0426,144.407,4,0.0838,0
9807,169846,0.193,0.581,0.504,8.44e-06,11,0.583,-11.099,0,0.057,130.013,4,0.273,0
4010,342400,0.00183,0.487,0.928,0.304,6,0.111,-6.783,0,0.0363,152.02100000000002,4,0.836,0
11983,204004,0.701,0.423,0.3929999999999999,0.0,3,0.211,-5.909,1,0.0291,179.921,4,0.467,0
7592,176133,0.315,0.754,0.805,0.0,6,0.203,-4.249,1,0.0752,93.983,4,0.555,1
13038,179960,0.0587,0.833,0.85,0.0004799999999999,4,0.0641,-4.773,0,0.193,157.97,1,0.887,0
15911,173986,0.00784,0.7909999999999999,0.619,0.0042299999999999,1,0.351,-5.886,1,0.0532,103.989,4,0.371,0
3332,295760,0.447,0.723,0.362,0.00186,9,0.303,-13.523,0,0.0499,76.595,4,0.931,0
7310,237516,0.424,0.735,0.482,0.000541,8,0.0926,-6.811,0,0.1639999999999999,86.955,4,0.665,0
14644,289466,0.332,0.521,0.7040000000000001,7.1e-06,9,0.0665,-5.772,0,0.0513,98.364,4,0.846,0
18390,218400,0.195,0.6,0.726,8.22e-05,10,0.115,-5.988,0,0.166,100.075,4,0.395,0
8135,273400,0.18,0.725,0.838,2.36e-06,5,0.1119999999999999,-9.063,1,0.0355,131.47799999999998,4,0.746,0
6964,211666,0.615,0.735,0.8240000000000001,0.0,10,0.158,-4.143,0,0.036,100.202,4,0.726,1
10825,350023,0.557,0.775,0.488,0.809,5,0.12,-10.839,0,0.036,117.983,4,0.4029999999999999,0
14581,198718,0.0198,0.3379999999999999,0.963,0.0045899999999999,0,0.1939999999999999,-2.582,1,0.162,179.6,4,0.621,0
4019,209893,3.09e-05,0.537,0.8170000000000001,2.27e-05,0,0.239,-4.787,1,0.0401,151.526,4,0.6,0
626,263933,0.282,0.598,0.282,0.0,11,0.105,-17.227,1,0.0256,134.70600000000002,4,0.305,0
16924,218160,0.976,0.619,0.198,0.00191,10,0.104,-13.808,1,0.0344,128.998,4,0.179,0
17764,193846,0.271,0.841,0.841,2.6e-05,9,0.108,-4.288,1,0.0633,104.01,4,0.823,0
11052,195637,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742,1
9416,174920,0.00183,0.611,0.948,0.0995,1,0.0969,-3.751,0,0.0753,133.004,4,0.79,0
10094,253793,0.00634,0.4579999999999999,0.947,0.63,3,0.431,-2.65,0,0.0626,174.03,4,0.22,0
16547,145544,0.258,0.947,0.36,7.31e-06,0,0.107,-8.093,0,0.0957,103.048,4,0.618,0
4605,164211,0.258,0.813,0.763,0.358,5,0.13,-5.884,1,0.0554,96.032,4,0.602,0
16136,190185,0.000704,0.657,0.8270000000000001,0.00534,5,0.065,-4.0360000000000005,1,0.0734,145.889,4,0.69,0
18096,193466,0.283,0.865,0.73,0.0,6,0.0753,-2.813,0,0.373,90.096,4,0.8079999999999999,1
17910,171816,0.1669999999999999,0.701,0.852,3.65e-05,3,0.0647,-3.542,1,0.0296,107.991,4,0.377,0
17128,186904,0.2189999999999999,0.792,0.716,0.0,8,0.118,-3.726,1,0.283,142.218,4,0.655,0
12958,295400,0.0589,0.586,0.7,0.00125,0,0.0318,-9.558,1,0.0363,147.245,4,0.897,1
3115,182752,0.865,0.687,0.509,0.0,10,0.12,-9.173,1,0.405,106.892,4,0.6509999999999999,0
3597,181169,0.0992,0.775,0.514,0.509,9,0.1159999999999999,-8.471,1,0.0332,96.986,4,0.415,0
14190,208133,0.00582,0.289,0.841,0.00771,8,0.267,-4.33,1,0.146,183.17,3,0.3989999999999999,1
1484,198693,0.75,0.7,0.281,0.0,9,0.102,-6.5760000000000005,0,0.0356,74.998,4,0.385,0
